time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
117440512,36461958,2331917,2520916,2353917,2723167
118489088,36754250,2359250,2545833,2341708,2736834
119537664,37125708,2412250,2567458,2369625,2784458
120586240,37422625,2395875,2591667,2383125,2793208
121634816,37734250,2419959,2612625,2405125,2817042
122683392,38077542,2445125,2632250,2424417,2839000
123731968,38424334,2463375,2655334,2445000,2862458
124780544,38731667,2478958,2682625,2466875,2884500
125829120,39040916,2498333,2707125,2486250,2907584
126877696,39363292,2509834,2734417,2506833,2934500
127926272,39718916,2561542,2753625,2526167,2959000
128974848,40027209,2564125,2770125,2568791,2982250
130023424,40318584,2588166,2791000,2570875,3007125
131072000,40644000,2601209,2812458,2590625,3041083
132120576,41103708,2624792,2836167,2614750,3056667
133169152,41320083,2667542,2864291,2632500,3080875
134217728,41669500,2672541,2879500,2653209,3116333
135266304,41983500,2686291,2906667,2675333,3135042
136314880,42372667,2725583,2928791,2694000,3153875
137363456,42656250,2738500,2947583,2715500,3183458
138412032,42958917,2745375,2971000,2744291,3203500
139460608,43246916,2777459,3008875,2755583,3229083
140509184,43678167,2789208,3020833,2777708,3250584
141557760,43934792,2813167,3039292,2799291,3284084
142606336,44234000,2835000,3067417,2829958,3296625
143654912,44590958,2854458,3083625,2843709,3323333
144703488,44960125,2872833,3104750,2863125,3350792
